127.0.0.1 - - [26/Jun/2026 18:42:13] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:13] "GET /js/landing.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:13] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:13] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:13] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:13] "GET /student.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:13] "GET /js/admin.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:13] "GET /js/student.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:13] "GET /manifest.json HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /js/supabase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /CSS/base.css HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /js/countdown.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /CSS/landing.css HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /CSS/components.css HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /js/landing.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /teacher.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /student.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /js/student.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /js/admin.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /js/teacher.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /calendar_logic.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /CSS/themes.css HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /CSS/layout.css HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 18:42:35] "GET /manifest.json HTTP/1.1" 200 -
